Author,Book_name,Content,Issuiers,Market_Price,Num_Page,Price,Publish_date,Publisher,Status,Weight
Olav Schewe,Học Khôn Ngoan Để Dẫn Đầu,"Cuốn sách chứa đựng những lời khuyên tốt nhất dành cho các bạn học sinh, sinh viên để bạn học được những phương pháp mới mà có thể áp dụng ngay lập tức vào việc học của mình để có cơ hội trở thành một trong những sinh viên có kết quả học tập tốt nhất. Những phương pháp học tập này sẽ giúp các bạn đạt được những kỹ năng đặc biệt nhằm Tiết kiệm Thời gian, Học tập Hiệu quả Hơn và Đạt Điểm số Cao hơn trong các kỳ thi.",1980 Books,85000,280,72000,29/05/2017,NXB Thế Giới,Hết hàng,400
Kim Nguyệt,Vào Bếp Cùng Bột Đường Trứng Sữa - 35 Món Bánh,"“Nấu ăn là một nghệ thuật và người nấu ăn là một nghệ sĩ”. Bạn có thể dễ dàng tìm mua bất cứ loại bánh nào bạn muốn, nhưng sẽ tuyệt vời hơn nếu bạn tự tay thực hiện những chiếc bánh thơm phức, xinh xắn trong gian bếp của mình dành tặng người thân yêu. “Vào bếp cùng bột, đường, trứng, sữa” để trổ tài khéo tay cùng “35 Món bánh” ngon lành",NXB Phụ Nữ,48000,64,40500,31/12/2016,NXB Phụ Nữ,Hết hàng,200
Wang Xiaoxiao,Bạn Hợp Với Nghề Gì Nhỉ? - Bạn Là Người Say Mê Nghiên Cứu,"Bộ sách này sẽ đưa bạn lên một chuyến tàu ghé thăm “vùng đất” của gần bốn mươi nghề nghiệp phổ biến trong đời sống, cũng là những nghề nghiệp mơ ước của nhiều bạn nhỏ. Theo hành trình dài với những khung hình miêu tả sinh động, bạn sẽ có những hình dung cơ bản về đặc điểm của mỗi ngành nghề, hiểu về những khó khăn, thử thách trong từng công việc, và cả những niềm vui, sự tự hào của những người làm nghề chân chính.",NXB Kim Đồng,33000,44,28000,01/01/2017,NXB Kim Đồng,Hết hàng,50
Wang Xiaoxiao,Bạn Hợp Với Nghề Gì Nhỉ? - Bạn Là Người Có Nhiều Ý Tưởng Sáng Tạo,"Bộ sách này sẽ đưa bạn lên một chuyến tàu ghé thăm “vùng đất” của gần bốn mươi nghề nghiệp phổ biến trong đời sống, cũng là những nghề nghiệp mơ ước của nhiều bạn nhỏ. Theo hành trình dài với những khung hình miêu tả sinh động, bạn sẽ có những hình dung cơ bản về đặc điểm của mỗi ngành nghề, hiểu về những khó khăn, thử thách trong từng công việc, và cả những niềm vui, sự tự hào của những người làm nghề chân chính.",NXB Kim Đồng,33000,44,28000,01/01/2017,NXB Kim Đồng,Hết hàng,50
Lâm Tiên Nhi,70 Món Thức Uống “Take Away” Pha Chế Tại Nhà,"Bạn là một “tín đồ”yêu thích các món thức uống “take away” tại các quán cà phê nổi tiếng như Highland coffee, Starbucks,…",NXB Phụ Nữ,62000,79,52500,31/01/2017,NXB Phụ Nữ,Hết hàng,200
Qian Hai Yun,Bạn Hợp Với Nghề Gì Nhỉ? - Bạn Là Người Đam Mê Thám Hiểm,"Bộ sách này sẽ đưa bạn lên một chuyến tàu ghé thăm “vùng đất” của gần bốn mươi nghề nghiệp phổ biến trong đời sống, cũng là những nghề nghiệp mơ ước của nhiều bạn nhỏ. Theo hành trình dài với những khung hình miêu tả sinh động, bạn sẽ có những hình dung cơ bản về đặc điểm của mỗi ngành nghề, hiểu về những khó khăn, thử thách trong từng công việc, và cả những niềm vui, sự tự hào của những người làm nghề chân chính.",NXB Kim Đồng,33000,44,28000,01/01/2017,NXB Kim Đồng,Hết hàng,50
Qian Hai Yun,Bạn Hợp Với Nghề Gì Nhỉ? - Bạn Là Người Tràn Trề Sức Sống,"Bộ sách này sẽ đưa bạn lên một chuyến tàu ghé thăm “vùng đất” của gần bốn mươi nghề nghiệp phổ biến trong đời sống, cũng là những nghề nghiệp mơ ước của nhiều bạn nhỏ. Theo hành trình dài với những khung hình miêu tả sinh động, bạn sẽ có những hình dung cơ bản về đặc điểm của mỗi ngành nghề, hiểu về những khó khăn, thử thách trong từng công việc, và cả những niềm vui, sự tự hào của những người làm nghề chân chính.",NXB Kim Đồng,33000,44,28000,01/01/2017,NXB Kim Đồng,Hết hàng,50
Wang Xiaoxiao,Bạn Hợp Với Nghề Gì Nhỉ? - Bạn Là Người Giàu Lòng Yêu Thương,"Bộ sách này sẽ đưa bạn lên một chuyến tàu ghé thăm “vùng đất” của gần bốn mươi nghề nghiệp phổ biến trong đời sống, cũng là những nghề nghiệp mơ ước của nhiều bạn nhỏ. Theo hành trình dài với những khung hình miêu tả sinh động, bạn sẽ có những hình dung cơ bản về đặc điểm của mỗi ngành nghề, hiểu về những khó khăn, thử thách trong từng công việc, và cả những niềm vui, sự tự hào của những người làm nghề chân chính.",NXB Kim Đồng,33000,44,28000,Đang,NXB Kim Đồng,Hết hàng,50
Quian Hai Yun,Bạn Hợp Với Nghề Gì Nhỉ? - Bạn Là Người Thích Đi Tìm Sự Thật,"Bộ sách này sẽ đưa bạn lên một chuyến tàu ghé thăm “vùng đất” của gần bốn mươi nghề nghiệp phổ biến trong đời sống, cũng là những nghề nghiệp mơ ước của nhiều bạn nhỏ. Theo hành trình dài với những khung hình miêu tả sinh động, bạn sẽ có những hình dung cơ bản về đặc điểm của mỗi ngành nghề, hiểu về những khó khăn, thử thách trong từng công việc, và cả những niềm vui, sự tự hào của những người làm nghề chân chính.",NXB Kim Đồng,33000,44,28000,Đang,NXB Kim Đồng,Hết hàng,50
Jinie Lynk,Đừng Lãng Phí Những Ngày Đẹp Trời,"Chúng ta, ai cũng từng trải qua những ngày như thế. Đó là quãng thời gian ta cứ quẩn quanh đây đó tìm kiếm câu trả lời mình là ai, mình thực sự muốn gì. Giữa những chông chênh của tuổi trẻ, khi đứng giữa quá nhiều ngã rẽ, chúng ta  bắt buộc phải đưa ra một sự lựa chọn cho riêng mình. Con đường nào cũng hấp dẫn, cũng mời gọi, nhưng cũng đầy thử thách và chông gai.",Người Trẻ Việt,78000,Đang,66000,18/03/2017,NXB Văn Học,Hết hàng,450
Julia Quinn,Như Chốn Thiên Đường,"Tác phẩm kể về Honoria Symthe-Smith, cô con gái út của Bá tước Winstead, là người chơi violin trong nhóm tứ tấu ở buổi hòa nhạc truyền thống hàng năm của gia đình mình. Cô hi vọng rằng năm nay sẽ là năm cuối cùng mình phải chơi trong nhóm tứ tấu vì cô đang quyết tâm kết hôn và bắt đầu một cuộc gia đình của riêng cô.",Bách Việt,115000,444,97500,18/03/2017,NXB Văn Học,Hết hàng,550
Charles Solomon,Chuyện Xưa Như Ngàn Năm - Bộ Phim Người Đẹp và Quái Vật Được Tạo Ra Như Thế Nào,"Người Đẹp và Quái Vật đẹp đẽ về hình ảnh, lãng mạn với âm nhạc, và sâu lắng ở thông điệp: Tình yêu chân thành sẽ đem lại sức sống cho cả những tâm hồn tưởng chừng đã khô cạn lòng tin.",NXB Kim Đồng,128000,180,108500,01/03/2017,NXB Kim Đồng,Hết hàng,200
Joe Snedeker,Tớ Tư Duy Như Một Nhà Khí Tượng Học - Tất Tần Tật Về Thời Tiết,"Đã bao giờ bạn tự hỏi điều gì xảy ra trong mắt bão hay các cơn bão nhiệt đới hình thành như thế nào? Từ chớp, bão tuyết cho đến cầu vồng và gió xoáy... cuốn sách này sẽ cho bạn cái nhìn lý thú về những gì diễn ra trên bầu trời:",Alphabooks,68000,144,57500,Đang,NXB Dân Trí,Hết hàng,250
Horvathnne Sipter Judit,Khám Phá Thế Giới - Những Hiện Tượng Thiên Nhiên Kì Thú,Khám phá hang động.,NXB Phụ Nữ,64000,63,54000,01/03/2017,NXB Phụ Nữ,Hết hàng,200
Sarah Tomley - Marcus Weeks,Triết Học Cho Trẻ Em ( Đông A),Có Thượng đế hay không?,Đông A,220000,142,187000,18/03/2017,NXB Dân Trí,Hết hàng,600
Trần Bích Hà,Sức Khỏe Trong Tay Bạn,"“Nhưng thông điệp quan trọng nhất của cuốn sách này có lẽ không phải là những công thức hay phương pháp cụ thể, bởi mỗi phương pháp có thể có tác dụng tốt với một số người, nhưng chưa chắc đã phù hợp với người khác. Điều thu nhận quý giá từ những trang sách của tác giả là niềm tin vào khả năng của mỗi con người làm chủ sức khỏe của mình. Nếu ta có lòng tin và quyết tâm tìm tòi thì những bệnh mãn tính sẽ được chế ngự ở mức độ này hay mức độ khác. Ưu điểm tuyệt đối của những biện pháp tự nhiên là nếu không lạm dụng thì chúng không gây hại thêm cho cơ thể bạn. Nếu muốn cải thiện tình trạng sức khỏe của mình, bạn hãy lên đường thử nghiệm y học thay thế. Cuốn sách sẽ khơi gợi ý tưởng và tạo động lực, hãy dùng nó như hướng dẫn khởi hành. Nhưng để đến đích hay không hoàn toàn phụ thuộc vào độ kiên trì của ý chí và sức dẻo dai của đôi chân bạn. Và như tôi vẫn thường làm – nếu băn khoăn hay thắc mắc, hãy hỏi tác giả Trần Bích Hà.” (trích lời anh Nguyễn Hải, Chủ tịch HĐQT Công ty Du lịch TransViet).",Thái Hà,59000,214,50000,20/03/2017,NXB Thế Giới,Hết hàng,300
Amanda Huynh,Có Hẹn Với Paris,,NXB Trẻ,150000,230,127500,31/03/2017,NXB Trẻ,Hết hàng,430
Stephen Hawking,Lỗ Đen : Các Bài Thuyết Giảng Trên Đài,"Đóng góp độc đáo của Stephen Hawking cho nghiên cứu khoa học là dựng lên những phương thức tiếp cận các vấn đề chuyên môn rất đa dạng: nổi tiếng nhất, ông là người đầu tiên đã khảo sát vũ trụ rộng lớn bằng những kỹ thuật khoa học lập ra để nghiên cứu những hạt nhỏ bé bên trong nguyên tử. Các đồng nghiệp của ông trong lĩnh vực cực kỳ phức tạp này có thể lo lắng rằng công trình của họ sẽ chẳng bao giờ trình bày được để công chúng dễ hiểu. Vậy mà việc hướng đến một công chúng rộng rãi hơn lại là một biệt tài của Hawking. Để thêm phần dễ tiếp cận đối với những ai hiếu kỳ nhưng rối trí, bị mê hoặc bởi ý tưởng nhưng lúng túng về mặt khoa học, sách có phần giới thiệu và ghi chú thêm ở các điểm mấu chốt của David Shukman - biên tập viên khoa học của BBC News.",NXB Trẻ,35000,76,29500,31/03/2017,NXB Trẻ,Hết hàng,150
Charles Fishman,Hãy Tò Mò Như Một Đứa Trẻ,"Mục đích của cuốn sách này rất đơn giản: Tôi muốn cho bạn thấy trí tò mò quý giá đến nhường nào, và nhắc bạn rằng nó mang lại sự vui vẻ ra sao. Tôi muốn cho bạn biết cách tôi sử dụng nó và chính bạn cũng có thể tận dụng nó.",Alphabooks,109000,372,92500,10/03/2017,NXB Thế Giới,Hết hàng,500
Nguyễn Ngọc Tư,Khói Trời Lộng Lẫy (Tái Bản 2022),,NXB Trẻ,90000,144,76500,24/01/2022,NXB Trẻ,Còn hàng,240
Salina Yoon,Cánh Cụt Ngố - Điều Ước Giáng Sinh Của Cánh Cụt Ngố,"đưa ông nội, em trai Bí Ngô và bạn gái Bootsy vào rừng thông đón Giáng sinh với bạn Quả Thông. Cả nhà cánh cụt mang theo đồ trang trí và quà để biến bạn Quả Thông của",NXB Trẻ,40000,36,34000,13/03/2017,NXB Trẻ,Hết hàng,130
Satomi Myodo,Hoa Trôi Trên Sóng Nước,,Khai Tâm,63000,211,53500,13/03/2017,NXB Hồng Đức,Hết hàng,310
Alexandra David Neel,Huyền Thuật Và Các Đạo Sĩ Tây Tạng,,Khai Tâm,92000,272,78000,13/03/2017,NXB Hồng Đức,Hết hàng,370
1980 Books,Luyện Trí Nhớ Bằng Kỹ Năng Ghi Nhớ,Có thể khẳng định một cách chắc chắn rằng việc học tất cả mọi thứ thực sự đều cần dựa vào trí nhớ. Bạn có thể ghi nhớ được mọi thông tin nếu như nó được liên kết với những thứ bạn đã biết hoặc nhớ. Vậy bạn có thể làm điều này như thế nào? Những cách thức liên kết đơn giản nhất mà bạn học được trong,1980 Books,49000,156,41500,18/03/2017,Nxb Đại học Kinh tế quốc dân,Hết hàng,250
Mary Hartley,Gái Khôn Được Tất,• Quyết đoán là gì và tại sao lại quan trọng,NXB Trẻ,82000,248,69500,19/03/2017,NXB Trẻ,Hết hàng,340
Lập Thệ Thành Yêu,Du Thái Hoa,"Phu quân tương lai của nàng là Tiêu Mặc Dự, từ bé cậu đã là thần đồng, cậu thích ngâm thơ, làm câu đối, luyện chữ..., toàn thân toát lên vẻ nho nhã, phong trần. Còn Hoa Thái U lại hào sảng khoáng đạt, có chút lỗ mãng, vì vậy ngay từ ngày đầu tiên gặp mặt, họ đã trở thành oan gia.",Bách Việt,145000,620,123000,14/03/2017,NXB Dân Trí,Hết hàng,800
Charles Duhigg,"Thông Minh Hơn, Nhanh Hơn, Giỏi Hơn (Tái Bản 2018)","Qua cuốn sách này, tác giả cũng chỉ cho bạn thấy làm thế nào để đưa ra những lựa chọn có thể tiếp thêm nhiên liệu cho năng suất làm việc. Đây thực sự là một cuốn cẩm nang về những chiến thuật và những cơ hội làm thay đổi cuộc sống và sự nghiệp của bạn.",Alphabooks,169000,496,143500,31/07/2018,NXB Thế Giới,Hết hàng,700
Kenji Inoue,"Lũ Ngốc, Bài Thi Và Linh Thú Triệu Hồi – Tập 4","Akihisa đang thỏa thích sống một mình thì đột nhiên, sát thủ hung tàn xuất hiện.",IPM,70000,340,59500,31/01/2017,NXB Văn Học,Hết hàng,440
Lê Minh Quốc,Tình Ta Đang Nhảy Rock,...Điều thú vị khi đến với,Phương Nam,108000,236,91500,01/03/2017,NXB Hội Nhà Văn,Hết hàng,436
Jean Arestein,Bách Khoa Toàn Thư Thực Hành Hội Họa,"sẽ giúp những người yêu thích học vẽ có thể tự học và thực hành hội họa thông qua phần lý thuyết căn bản và các bài tập từ đơn giản đến phức tạp, từ tổng thể đến chi tiết.",Văn Lang,158000,317,134000,15/03/2017,Nxb Thanh Hóa,Hết hàng,450
Mèo Ú Sáu Múi,Violin Trio - Tam Tấu Violon,"là một câu chuyện về cuộc sống ở vùng đầm lầy. Ở đó, có một ban nhạc 3 chú chuột, một chú cáo ranh ma, một ông chủ nhà hàng có nhiều tâm sự. Những câu chuyện giản dị, bình thường vẫn cứ diễn ra trong vùng đầm lầy.",Cẩm Phong,95000,256,80500,25/03/2017,NXB Dân Trí,Hết hàng,400
Dương Hà Ngân,Tuần Của Bé - Bé Lạc Quan,Học cùng con thế nào? Chơi cùng con ra sao?,Phúc Minh,23000,24,19500,17/03/2017,NXB Mỹ Thuật,Hết hàng,100
Dương Hà Ngân,Tuần Của Bé - Bé Sáng Tạo,Học cùng con thế nào? Chơi cùng con ra sao?,Phúc Minh,23000,24,19500,17/03/2017,NXB Mỹ Thuật,Hết hàng,100
Dương Hà Ngân,Tuần Của Bé - Bé Dũng Cảm,Học cùng con thế nào? Chơi cùng con ra sao?,Phúc Minh,23000,24,19500,17/03/2017,NXB Mỹ Thuật,Hết hàng,100
Hiên,Stay With Me - Anh Ơi Đừng Đi,một cuốn sách thấu hiểu trái tim bạn như một tri kỷ.,Người Trẻ Việt,75000,Đang,63500,28/03/2017,NXB Văn Học,Hết hàng,350
Giáo sư John Vũ,Kiến Tạo Thế Hệ Việt Nam Ưu Việt,Với 6 kỹ năng vàng trong cuốn sách:,First News - Trí Việt,88000,192,74500,01/01/2017,NXB Hồng Đức,Hết hàng,380
Steven J. Matthiesen,Essential Words For The TOEFL - 4th Edition (Tái Bản 2017),"Lời khuyên chi tiết dành cho các học viên Anh ngữ trong việc mở rộng vốn từ tiếng Anh đi kèm với danh sách khoảng 500 cần-phải-biết có kèm định nghĩa. Các tác giả bộ sách cung cấp nhiều mẹo hữu ích về cách sử dụng từ điển và từ điển đồng nghĩa, phản nghĩa để làm tăng năng lực từ. Những bài thực hành với đáp án đầy đủ sẽ giúp học viên đo lường được sự tiến bộ trong việc học từ vững của mình và cũng làm tăng sự lưu loát trong Anh văn nói và viết.",First News - Trí Việt,96000,312,81500,01/03/2017,NXB Trẻ,Hết hàng,480
Zig Zig Lar,Vươn Đến Sự Hoàn Thiện (Tái Bản 2017),"Cuốn sách giúp chúng ta biết cách kết nối ba yếu tố đam mê cháy bỏng, nỗ lực hết mình và mục đích tối thượng lại với nhau. Dù là trong các hoạt động thể thao, kinh doanh, nghiên cứu khoa học, y học, giáo dục, phục vụ cộng đồng, thì không có người nào làm việc hết sức mình mà lại không mảy may có một chút đam mê. Trên bước đường vươn đến cuộc sống viên mãn, rất có thể bạn sẽ gặp thất bại, sẽ nản lòng thoái chí, bị lợi dụng, bị bạn bè chơi khăm, bị vắt kiệt cả tiền tài lẫn sức lực… Dường như lúc nào cũng có những nguyên nhân rất thuyết phục khiến chúng ta phải chùn bước và muốn buông bỏ. Những lúc như vậy, nếu không có niềm đam mê thực sự, có thể bạn sẽ bỏ cuộc nửa chừng. Đó chính là lý do tại sao niềm đam mê lại là điều tiên quyết cần có trong ba yếu tố kể trên.",First News - Trí Việt,78000,260,66000,01/03/2017,NXB Trẻ,Hết hàng,380
Graeme Simsion,Hiệu Ứng Rosie,"Nhưng một lần nữa, nàng Rosie đã thả cả chùm bom hạng nặng. Và chàng Don phải đương đầu với thử thách lớn nhất giáng xuống cuộc đời vốn ngăn nắp đồng thời xoay xở để không bị trục xuất, bị khởi kiện và bị ô danh với tư cách một nhà khoa học.",NXB Phụ Nữ,129000,480,109500,30/12/2016,NXB Phụ Nữ,Hết hàng,600
Lời: Laurent Gaulet,Nhật Kí Của Bố Và Bé,:,Đông A,150000,88,127500,27/03/2017,NXB Dân Trí,Hết hàng,350
Phan Lạc,Gió Thổi Sắc Đào Bay,,Owlbooks,179000,668,152000,09/03/2017,NXB Dân Trí,Hết hàng,820
Maria Montessori,Trẻ Thơ Trong Gia Đình,"Maria Montessori (1870-1952) là một nhà giáo dục lỗi lạc của nhân loại trong thời cận đại. Sinh trưởng trong vùng Ancona của Italia, bà tốt nghiệp trường Dược năm 1896 và trở thành vị nữ bác sĩ y khoa đầu tiên của quốc gia này. Những quan sát của bà về trẻ thơ khi hành nghề y đã giúp bà phân tích tinh tường phương cách học hỏi của chúng. Bà viết sách về giáo dục trẻ em và về hệ thống giáo dục mà bà đã khai triển. Bà thực hiện nhiều khóa huấn luyện cho các giáo viên tại Tây Ba Nha, Ấn Độ, Anh và Hà Lan.",NXB Tri Thức,35000,144,29500,30/12/2012,NXB Tri Thức,Hết hàng,200
Phan Thị Hồ Điệp,Ở Nơi Yên Ấm - Chuyện Cái Túi,Chắc hẳn các bạn đã biết đến sự có mặt của cuốn sách,Thái Hà,39000,36,33000,31/03/2017,NXB Lao Động Xã Hội,Còn hàng,150
Phan Thị Hồ Điệp,Ở Nơi Yên Ấm - Yêu Bố Cả Ngày,,Thái Hà,39000,36,33000,31/03/2017,NXB Lao Động Xã Hội,Hết hàng,150
Phan Thị Hồ Điệp,Ở Nơi Yên Ấm - Chuyện Hạnh Phúc,Chắc hẳn các bạn đã biết đến sự có mặt của cuốn sách,Thái Hà,39000,36,33000,31/03/2017,NXB Lao Động Xã Hội,Còn hàng,150
Phan Thị Hồ Điệp,Ở Nơi Yên Ấm - Yêu Mẹ Cả Ngày,Chắc hẳn các bạn đã biết đến sự có mặt của cuốn sách,Thái Hà,39000,36,33000,31/03/2017,NXB Lao Động Xã Hội,Hết hàng,150
Phan Thị Hồ Điệp,Combo Ở Nơi Yên Ấm,Chắc hẳn các bạn đã biết đến sự có mặt của cuốn sách,Thái Hà,156000,144,132500,31/03/2017,NXB Lao Động Xã Hội,Hết hàng,600
Nguyễn Công Hoan,Truyện Ngắn Nguyễn Công Hoan,"quê ở làng Xuân Cầu, tổng Xuân Cầu, huyện Văn Giang, phủ Thuận Thành, tỉnh Bắc Ninh (nay thuộc xã Nghĩa Trụ, huyện Văn Giang, tỉnh Hưng Yên). Ông sinh trong một gia đình quan lại xuất thân Nho học thất thế. Trong gia đình, từ nhỏ",Phương Nam,110000,463,93500,30/07/2014,NXB Văn Học,Hết hàng,663
Richard Paul,Cẩm Nang Tư Duy Kỹ Thuật,"“The Foundation for Critical Thinking” (Quỹ Tư duy Phản biện) là một tổ chức học thuật, cung cấp nhiều “cẩm nang về tư duy khoa học được biên soạn chặt chẽ, chắt lọc, ngắn gọn và thiết thực, đúc kết nhiều thành tựu về phương pháp trên “mẫu số chung” là khuyến khích tư duy phân tích và phản biện, cùng với các kỹ năng nghe, nói đọc, viết, học tập và nghiên cứu một cách có thực chất, có chiều sau và dễ dàng áp dụng vào cuộc sống",NXB Tổng Hợp,35000,108,29500,31/12/2016,NXB Tổng Hợp,Hết hàng,150
Terry Burnham,Đầu Tư Phi Lý Trí,"Không chỉ có vậy, cuốn sách còn nghiên cứu, lý giải tại sao những chuyện điên rồ, hoảng loạn, suy sụp lại thường diễn ra với các nhà đầu tư và tại sao các nhà đầu tư được lập trình để mua cổ phiếu ở mức cao một cách phí lý rồi lại bán ra ở mức thấp bất hợp lý. Quan trọng hơn cả, bằng cách kết hợp những nghiên cứu mới về sự phi lý, cuốn sách Đầu tư phi lý trí có thể giúp người đọc nhìn thấy những hành động phi lý của bản thân và chỉ cho chúng ta thấy cách để kiếm ra tiền từ một thế giới phi lý.",Bách Việt,119000,460,101000,23/03/2017,NXB Lao Động Xã Hội,Hết hàng,600
Hội Nghiên cứu Đông Dương,Chuyên Khảo Về Tỉnh Long Xuyên,+ Địa lý hình thể,NXB Trẻ,30000,62,25500,31/03/2017,NXB Trẻ,Hết hàng,150
Dương Thụy,Susu Và GoGo Đi Paris,Đi là gặp gỡ và kết thân với những nhân vật lạ lùng.,NXB Kim Đồng,45000,95,38000,31/03/2017,NXB Kim Đồng,Hết hàng,250
Nguyễn Huy Thiệp,Những Ngọn Gió Hua Tát,“,NXB Trẻ,75000,260,63500,31/03/2017,NXB Trẻ,Hết hàng,400
Ngọc Duy,Cùng Chuột Hin Tô Màu : Chủ Đề Sáng Tạo,,NXB Trẻ,11000,16,9000,26/03/2017,NXB Trẻ,Hết hàng,110
Antonio E. Weiss,101 Quan Điểm Kinh Doanh Sẽ Thay Đổi Cách Làm Việc Của Bạn,,NXB Trẻ,100000,452,85000,26/03/2017,NXB Trẻ,Hết hàng,550
Ngọc Duy,Cùng Chuột Hin Tô Màu : Chủ Đề Quan Tâm,,NXB Trẻ,11000,16,9000,26/03/2017,NXB Trẻ,Hết hàng,110
Ngọc Duy,Cùng Chuột Hin Tô Màu : Chủ Đề Tình Bạn,,NXB Trẻ,11000,16,9000,26/03/2017,NXB Trẻ,Hết hàng,110
Thanh Cherry,Từ 0-7 Tuổi : Giai Đoạn Vàng Để Dạy Con Thông Thái,"- Luôn vui thích khi học hỏi, tiếp cận và tích lũy kiến thức một cách tự nhiên.",Huy Hoàng,165000,227,140000,24/03/2017,NXB Phụ Nữ,Hết hàng,320
Lời: Knister,Lời Hứa Với Hoa,"Sóc đồng cỏ chấm dứt kì nghỉ đông, chui ra khỏi hang thì gặp ngay một bông bồ công anh chúm chím, lung linh như ánh nắng, êm đềm như ánh trăng. Sóc đồng cỏ rất yêu bông hoa, đêm ngày chơi vui quanh hoa, bảo vệ cho nó.",IPM,42000,30,35500,31/03/2017,NXB Hồng Đức,Hết hàng,130
Lời và tranh : Giuliano Ferri,Nòng Nọc Đã Lớn,"Chẳng là ngày nọ, nòng nọc chào đời, có cái đuôi dài nhọn bơi tung tăng khắp nơi. Bơi thi này. Đi chơi này. Đi trốn này. Khám phá khắp ao nước này. Tất cả mọi lúc đều có cái đuôi xinh đẹp đồng hành.",IPM,42000,30,35500,31/03/2017,NXB Hồng Đức,Hết hàng,130
Lời: Knister,Cừu Con Kiêu Ngạo,"Cừu con nhìn xung quanh, thấy mẹ và những cô dì chú bác đều được cạo lông, thì cũng thích cạo lông lắm. Mẹ cừu bèn nói, con còn nhỏ, hãy chờ một thời gian. Trong thời gian chờ đợi đó, cừu con bèn lên đường đi chơi. Trên đường đi, lông nó bèn mọc dài ra, bông lên, trắng muốt, vô cùng xinh đẹp. Nơi nào cừu đến, các bạn cũng khen lông đẹp và muốn xin một ít. Nhưng cừu con kiêu ngạo đáp, cho bạn thì tôi xấu mất à?",IPM,42000,30,35500,31/03/2017,NXB Hồng Đức,Hết hàng,130
Lời và tranh: John A. Rowe,"Ôm Tớ Một Cái, Được Không ?","Nhím con sống một mình mãi, vô cùng khao khát yêu thương âu yếm. Một hôm nó bèn lên đường đi từ rừng đến thành phố, từ nhà ga ra dòng sông, từ suối ra đồng, gặp bất cứ ai cũng đề nghị người ta ôm mình, một cái thôi cũng được. Nhưng ai cũng từ chối, bé biết vì sao không? Chính là vì, mình nhím đầy gai đấy, bé xem trong sách sẽ rõ nhé.",IPM,42000,30,35500,31/03/2017,NXB Hồng Đức,Hết hàng,130
Tranh: Eve Tharlet,Chuột Sóc Ưa Gây Rối,"Chuyện rằng các bạn chuột chũi, quạ, ếch, nhím, chuột nhắt… đang chơi bóng thì chuột sóc từ đâu xông ra, ôm lấy quả bóng rồi chạy mất hút.",IPM,42000,30,35500,31/03/2017,NXB Hồng Đức,Hết hàng,130
Tranh: Eve Tharlet,Mái Ấm Của Ếch Con,"Câu chuyện bắt đầu một cách hồi hộp khi mà bố ếch tự nhiên bỏ nhà đi mất, mẹ ếch đi tìm bố ếch rồi mãi mà cũng không về, ở nhà chỉ còn mấy bé ếch con. Các bé đợi mãi, đợi mãi, không ai cho ăn, không ai tắm cho, không ai vỗ về ru ngủ…",IPM,42000,30,35500,31/03/2017,NXB Hồng Đức,Hết hàng,130
Trương Ninh,Chuyến Đi Chơi Xa Của Nhà Rùa,"Khi mùa xuân đến, nhà rùa thức giấc sau kì nghỉ đông. Cả nhà muốn rời nơi ở bé nhỏ của mình đi ngắm biển lớn, bèn vươn vươn cái cổ, duỗi duỗi cái chân, bắt đầu lên đường.",IPM,48000,30,40500,31/03/2017,NXB Hồng Đức,Hết hàng,130
Hans,Cáo Ali Và Mây Nhỏ,,IPM,52000,30,44000,31/03/2017,NXB Hồng Đức,Hết hàng,130
Lời: Simone Lindner,Nàng Tiên Lửa,"kể về cuộc giải cứu khu rừng hỏa hoạn của một nàng tiên nhỏ, nhờ nắm vững tính chất của lửa.",IPM,42000,30,35500,31/03/2017,NXB Hồng Đức,Hết hàng,130
Lời: Simone Lindner,Chàng Tiên Đất,"Thông qua khung cảnh bát ngát và kì bí của rừng già, sông suối…",IPM,42000,30,35500,31/03/2017,NXB Hồng Đức,Hết hàng,130
Lời: Simone Lindner,Nàng Tiên Gió,,IPM,42000,30,35500,31/03/2017,NXB Hồng Đức,Hết hàng,130
Lời: Simone Lindner,Nàng Tiên Nước,,IPM,42000,30,35500,31/03/2017,NXB Hồng Đức,Hết hàng,130
Thu Hà,Những Người Bạn Của Kathy,Giấc mơ sẽ kéo dài bao lâu? Điều tươi đẹp của tuổi thơ có tồn tại mãi mãi?,NXB Kim Đồng,20000,68,17000,26/03/2017,NXB Kim Đồng,Hết hàng,160
Ajaan le Dhammadharo,Mắt Biếc Nhìn Dòng Đời,"Tác phẩm đề cập đến các vấn đề trọng tâm của thực tập thiền chánh niệm bao gồm nhu cầu thực tập thiền Tứ niệm xứ và thiền Minh sát tuệ, các kinh nghiệm thực tập quán niệm hơi thở, các đề mục tu thiền, vai trò của đạo đức và trí tuệ trong thiền định, kinh nghiệm vượt qua tham ái, sân hận và si mê và nghệ thuật làm chủ cảm xúc.",Khai Tuệ,35000,159,29500,05/01/2015,NXB Hồng Đức,Hết hàng,260
Nguyên Trân,Thinh Hương,"Cỏ không tên (NXB Hội Nhà văn) là tập thơ đầu tiên của Nguyên Trân được ra mắt bạn đọc Sài Gòn vào tháng 11 năm 2015. Đầu năm 2017 này, cũng tại Sài Gòn, Nguyên Trân cho ra mắt tiếp tập thơ thứ hai có cái tựa khá lạ: Thinh Hương (NXB Hội Nhà văn)",Saigon Books,49000,128,41500,21/12/2016,NXB Hội Nhà Văn,Hết hàng,230
