Author,Book_name,Content,Issuiers,Market_Price,Num_Page,Price,Publish_date,Publisher,Status,Weight
Vũ Trọng Phụng,Giông Tố (Minh Long),"Vũ Trọng Phụng sinh năm 1912 tại Hà Nội trong một gia đình nghèo. Chính quê nhà văn ở làng Hảo (tức Bần, Yên Nhân, huyện Mỹ Hào, tỉnh Hưng Yên).",Minh Long,61000,364,51500,31/07/2016,NXB Văn Học,Hết hàng,500
Takeshi Obata,Hikaru Kì Thủ Cờ Vây - Tập 4,"Ngày nọ, Hikaru tìm thấy một bàn cờ vây cũ kĩ trên gác xép trong kho nhà ông ngoại. Bỗng đâu, từ trong bàn cờ, linh hồn Fujiwarano Sai xuất hiện và nhập vào tâm thức cậu. Vốn là một kì thủ thiên tài từ thời Heian, Sai coi trọng cờ vây hơn tất thảy mọi thứ trên đời. Từ đây, Hikaru từng bước dấn sâu vào thế giới cờ vây kì thú dưới sự dẫn dắt của Sai.",NXB Kim Đồng,20000,200,16000,25/07/2016,NXB Kim Đồng,Còn hàng,300
Nguyên Hương,Nấm Mỡ Ở Thị Trấn Nấm - Nấm Mỡ Phụ Bếp,Hôm nay Nấm Mỡ quyết định lăn vào bếp phụ má nấu cơm.,NXB Trẻ,22000,32,18500,31/07/2016,NXB Trẻ,Hết hàng,300
Đỗ Hồng Ngọc,Ngàn Cánh Sen Xanh Biếc,"Các vị Đại Bồ-tát, trong đó có Đại Trang Nghiêm Bồ-tát dẫn đầu đồng thanh hỏi:",NXB Tổng Hợp,63000,216,25000,01/03/2014,NXB Tổng Hợp,Còn hàng,250
Lại Văn Long,Đứa Con Thời Hậu Chiến,"Một cô gái sinh năm 1976 trong một gia đình cán bộ, trí thức tại Thành phố Hồ Chí Minh; nhưng mới hai ngày tuổi đã bị ông ngoại đưa vào trại mồ côi rồi lưu lạc trên vùng rừng núi heo hút sống với đồng bào dân tộc Stiêng. Mười tám năm sau, báo Công an Thành phố Hồ Chí Minh đã giúp cô tìm lại được người mẹ đã mòn mỏi chờ đợi đứa con thất lạc. Cuộc sống mới trong gia đình giàu có của mẹ cô đã bị đảo lộn khi có thêm một thành viên “từ trên trời rơi xuống”. Cô gái mồ côi ngày nào lại phải ra đi mà không có tiền bạc, nghề nghiệp, giấy tờ tùy thân. Một lần nữa báo Công an Thành phố Hồ Chí Minh đã giúp cô… Tôi viết tiểu thuyết này từ cảm hứng với câu chuyện đặc biệt đó, cầu mong tất cả các nhân vật đã đi vào trong sách của tôi đều được hạnh phúc, bình an.",NXB Tổng Hợp,55000,194,46500,02/07/2016,NXB Tổng Hợp,Hết hàng,350
Nguyên Anh,108 Chuyện Kể Hay Nhất Về Các Loài Cây Và Hoa Quả- Tập 2,"là những câu chuyện từ thời xa xưa, được truyền từ đời này sang đời khác, có tính truyền miệng và hư cấu. Các câu chuyện trong sự tích đề cập đến nhiều sự vật, cây cối, hoa quả, con vật,… gần gũi với cuộc sống hàng ngày của con người.",Đinh Tị,50000,248,42500,31/07/2016,NXB Thanh Niên,Hết hàng,300
Pamela Druckerman,Cha Mẹ Pháp Không Đầu Hàng,"là 100 bí quyết quan trọng nhất mà tác giả đã học được từ các cha mẹ và các chuyên gia giáo dục trẻ tại Pháp. Người đọc, không nhất thiết phải sống giữa lòng Paris mới có thể áp dụng những bí quyết này. Thậm chí cha mẹ cũng chẳng cần phải thích phô mai mới dạy được con cách yêu phô mai của người Pháp. Tuy vậy, tôi khuyên bạn nên ngó qua những thực đơn ở phần cuối cuốn sách. Đó là thực đơn mẫu mà trẻ em ở các nhà trẻ tại Paris được ăn, hơn nữa những món đó không phải dành riêng cho trẻ nhỏ mà còn là những món ngon cho cả người lớn nữa.",Thái Hà,45000,160,38000,26/07/2016,NXB Lao Động Xã Hội,Hết hàng,400
Quentin Gréban,Học Ứng Xử Qua Ngụ Ngôn- Lớn Chuyện Rồi,"là bộ sách gồm những câu chuyện và không chuyện dẫn dắt các bé vào những tình huống ứng xử cụ thể giúp bé hiểu, có thêm kỹ năng sống và ứng xử ngoài đời được tốt hơn. Bên cạnh đó sau từng câu chuyện đều có phần giao lưu với bạn đọc nhí chia sẻ ý nghĩa của từng câu chuyện để các em hiểu trọn vẹn hơn thông điệp mà mỗi cuốn sách đang truyền tải đến các em.",NXB Trẻ,22000,28,18500,31/07/2016,NXB Trẻ,Hết hàng,150
Quentin Gréban,Học Ứng Xử Qua Ngụ Ngôn - Lời Xa Tiếng Gần,,NXB Trẻ,22000,28,18500,31/07/2016,NXB Trẻ,Hết hàng,150
Quentin Gréban,Học Ứng Xử Qua Ngụ Ngôn - Bọ Rùa Lạc Mẹ,,NXB Trẻ,22000,28,18500,31/07/2016,NXB Trẻ,Hết hàng,150
Võ Tòng Đánh Mèo,Từ Trong Nhà Ra Ngoài Ngõ,***,Cẩm Phong,79000,244,67000,07/08/2016,NXB Lao Động Xã Hội,Hết hàng,400
Chris Bradford,Samurai Trẻ Tuổi - Tập 8: Ngũ Đại - Không,"Bị binh đoàn samurai của Shogun tập kích, nhóm Jack chỉ còn duy nhất một lối thoát – Biển Seto. Thế nhưng đây lại là một quyết định chứa đựng quá nhiều nguy hiểm tiềm tàng, từ những cơn bão to sóng lớn đến những con cá mập ăn thịt người và cả bọn ninja hải tặc. Thủy thủ đoàn không đáng tin cậy càng làm cho cuộc tháo chạy khỏi tầm tay Lãnh chúa Mori tàn độc thêm phần khó khăn. Nếu Jack không kịp làm chủ Nguyên tố Phong, biển cả chắc chắn sẽ trở thành mồ chôn của nó và nhóm bạn…",NXB Kim Đồng,52000,360,44000,27/07/2016,NXB Kim Đồng,Hết hàng,600
